X,Y,OBJECTID,ASSETID,SearchDescription,Type,SerialNo,ExpectedCommissioning,AssetStage,MaintenanceResp,SigActivity,DrawingRef,SpatialAccuracy,MeterComponent,PropertyUse,NumDials,AccountNo,MeterSize,loaddate,InstallDate,FunctionService
1703673.2435,5678930.7383,1,40110871,RU-MOUNT0123WM,Unknown,NM768,,In Service,Unknown,Water Supply,,DIGITISE,REG,Farm Land,45,560,0,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Bell Block Water Supply Zone
1699829.734,5677749.828,2,40110877,BB-PARAI0126WM,Unknown,104622,,In Service,Unknown,Water Supply,,DIGITISE,REG,Small Holdings,37,1170,0,2024/03/22 22:03:57+00,1994/01/13 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Bell Block Water Supply Zone
1708750.924,5681610.798,3,40110879,WA-PRINC0127WM,Restricted Flow Meter,RFHAMEL,,In Service,Water,Water Supply,,DIGITISE,REG,FARMLET,30,1222,1,2024/03/22 22:03:57+00,1994/03/21 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Waitara Water Supply Zone
1704762.7293,5677466.1926,4,40110881,RU-RICH10357WM/1,Manifold Meter,MN353,,In Service,Water,Water Supply,SERVICES 128 KELLY ROAD,DIGITISE,REG,Farm Land,45,1484,20,2024/03/22 22:03:57+00,1998/06/12 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Waitara Water Supply Zone
1702867.034,5665181.866,5,40110882,IN-RATA0129WM,Unknown,MN145,,In Service,Unknown,Water Supply,,DIGITISE,REG,Residential,82,829,0,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\Inglewood System\Inglewood Reticulation\Inglewood West Water Supply Zone
1709457.936,5680632.2416,6,40110885,WA-NGATI0129WM,Unknown,99M005843,,In Service,Unknown,Water Supply,,DIGITISE,REG,FARM,51,679,0,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Tikorangi/Urenui Water Supply Zone
1705601.234,5681286.398,7,40110886,WA-RALEI0129WM,Unknown,NO444,,In Service,Unknown,Water Supply,,DIGITISE,REG,Residential,50,708,0,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Waitara Water Supply Zone
1706209.216,5679721.6,8,40110887,WA-WAITA0129WM,Unknown,NO440,,In Service,Unknown,Water Supply,,DIGITISE,REG,Residential,44,544,0,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Waitara Water Supply Zone
1705295.86,5679411.422,9,40110888,RU-RICHM0129WM,Restricted Flow Meter,RFRHODES,,In Service,Water,Water Supply,,DIGITISE,REG,RESTRICTED,30,1675,2,2024/03/22 22:03:57+00,2001/05/08 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Waitara Water Supply Zone
1693611.002,5675349.762,10,40110890,NP-CORON0130WM,Unknown,22250,,In Service,Unknown,Water Supply,,DIGITISE,REG,Commercial/Industrial,24,917,0,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Brooklands Water Supply Zone
1709390.052,5680686.098,11,40110892,WA-NGATI0130WM,Restricted Flow Meter,48,,In Service,Water,Water Supply,,DIGITISE,REG,FARM,30,678,1,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Waitara Water Supply Zone
1704071.89,5682689.976,12,40110893,RU-BROWN0130WM,Unknown,MN930,,In Service,Unknown,Water Supply,,DIGITISE,REG,Residential,50,1430,0,2024/03/22 22:03:57+00,1997/08/27 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Waitara Water Supply Zone
1699087.9568,5677402.9019,13,40194940,BB-HENWO0131WM/1,Manifold Meter,11M585040,,In Service,Water,Water Supply,METER BK P2028,DIGITISE,REG,Residential,34,33302,20,2024/03/22 22:03:57+00,2012/07/17 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Bell Block Water Supply Zone
1689638.4273,5674848.1348,14,40110895,NP-SOUTH0131WM,Unknown,NO761,,In Service,Unknown,Water Supply,,DIGITISE,REG,Residential,21,55,0,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Barrett Rd Water Supply Zone
1689641.1102,5674845.4035,15,40110896,NP-SOUTH0131WM/1,Unknown,NO851,,In Service,Water,Water Supply,,DIGITISE,REG,Water Billing Account,21,1447,0,2024/03/22 22:03:57+00,1998/01/12 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Barrett Rd Water Supply Zone
1706216.252,5679698.948,16,40110900,WA-WAITA0131WM,Restricted Flow Meter,RFD&D2CM,,In Service,Water,Water Supply,,DIGITISE,REG,HORTICULTU,30,545,2,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Waitara Water Supply Zone
1703200.5274,5663150.8962,17,40110901,IN-WINDS0132WM,Unknown,NO664,,In Service,Unknown,Water Supply,,DIGITISE,REG,Farm Land,86,32897,0,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\Inglewood System\Inglewood Reticulation\Inglewood Upper Supply Zone
1692352.09,5676364.454,18,40194159,NP-ST AU0132WM/1,Manifold Meter,09M001069,,In Service,Water,Water Supply,MET BK PG 2013,DIGITISE,REG,Commercial/Industrial,22,1195,20,2024/03/22 22:03:57+00,2012/03/30 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\CBD Water Supply Zone
1705555.842,5681278.19,19,40110904,WA-RALEI0132WM,Unknown,96M046029,,In Service,Unknown,Water Supply,,DIGITISE,REG,Residential,50,707,0,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Waitara Water Supply Zone
1697641.1143,5676597.0171,20,40110905,NP-EGMON0133WM/1,Manifold Meter,NO463,,In Service,Unknown,Water Supply,,DIGITISE,REG,FARM,36,1438,0,2024/03/22 22:03:57+00,1997/12/04 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Fitzroy Industrial Water Supply Zone
1682904.8018,5668998.273,21,40110906,OA-WAIRA0133WM,Unknown,NM046033,,In Service,Unknown,Water Supply,,DIGITISE,REG,Residential,12,33171,0,2024/03/22 22:03:57+00,1993/03/20 00:00:00+00,Water\Oakura System\Oakura Reticulation\Oakura Water Supply Zone
1699495.3162,5680086.961,22,40110908,BB-DESMO0011WM,Unknown,MN644,,In Service,Unknown,Water Supply,,DIGITISE,REG,Residential,28,32932,0,2024/03/22 22:03:57+00,2001/04/05 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Bell Block Water Supply Zone
1694153.02,5676383.82,23,40110916,NP-LEMON0136WM,Unknown,MN 3590,,In Service,Unknown,Water Supply,,DIGITISE,REG,Residential,24,1386,0,2024/03/22 22:03:57+00,1996/04/20 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\CBD Water Supply Zone
1688808.934,5674961.332,24,40110917,NP-NGAMO0136WM,Unknown,D935,,In Service,Unknown,Water Supply,,DIGITISE,REG,Residential,21,68,0,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Barrett Rd Water Supply Zone
1682962.554,5668918.326,25,40110921,OA-WAIRA0136WM,Unknown,104805,,In Service,Unknown,Water Supply,,DIGITISE,REG,Residential,12,31635,0,2024/03/22 22:03:57+00,1993/04/06 00:00:00+00,Water\Oakura System\Oakura Reticulation\Oakura Water Supply Zone
1703777.984,5663390.97,26,40110923,IN-DUDLE0137WM,Restricted Flow Meter,RFSCHOEMAK,,In Service,Water,Water Supply,,DIGITISE,REG,FARM,30,896,33,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\Inglewood System\Inglewood Reticulation\Inglewood Upper Supply Zone
1702632.118,5666220.668,27,40110924,IN-LEPPE0137WM,Restricted Flow Meter,RFKUKLNSKI,,In Service,Water,Water Supply,,DIGITISE,REG,FARM,30,915,5,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\Inglewood System\Inglewood Reticulation\Inglewood West Water Supply Zone
1699936.672,5680329.138,28,40110927,BB-WILLS0138WM,Unknown,NM793,,In Service,Unknown,Water Supply,,DIGITISE,REG,FARM,38,457,0,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Bell Block Water Supply Zone
1683154.136,5668768.89,29,40110933,OA-WAIRA0139WM,Unknown,MN466,,In Service,Unknown,Water Supply,,DIGITISE,REG,Small Holdings,12,33229,0,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\Oakura System\Oakura Reticulation\Oakura Water Supply Zone
1692945.62,5673669.218,30,40195129,NP-HUATO0141WM/2,Manifold Meter,11M585029,,In Service,Water,Water Supply,METER BK P2041,DIGITISE,REG,Residential,23,1202,20,2024/03/22 22:03:57+00,2012/09/18 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Veale Water Supply Zone
1692921.594,5673729.602,31,40195867,NP-HUATO0141WM/3,Manifold Meter,12M165392,,In Service,Water,Water Supply,METER BK P2064,DIGITISE,REG,Residential,23,1201,0,2024/03/22 22:03:57+00,2012/12/14 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Veale Water Supply Zone
1693845.512,5676829.16,32,40110940,NP-MOLES0141WM,Unknown,PSMA26030,,In Service,Unknown,Water Supply,,DIGITISE,REG,Commercial/Industrial,25,334,0,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\CBD Water Supply Zone
1705538.87,5681154.834,33,40110942,WA-RALEI0143WM,Unknown,NM417,,In Service,Unknown,Water Supply,,DIGITISE,REG,Residential,50,695,0,2024/03/22 22:03:57+00,1992/10/31 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Waitara Water Supply Zone
1705525.936,5681119.984,34,40194485,WA-RALEI0145WM/1,Restricted Flow Meter,RF,,In Service,Water,Water Supply,METER BK P1685,DIGITISE,REG,RESTRICTED,30,0,0,2024/03/22 22:03:57+00,2006/12/18 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Waitara Water Supply Zone
1707474.07,5682001.862,35,40110949,WA-MANUK0146WM,Unknown,103,,In Service,Unknown,Water Supply,,DIGITISE,REG,Residential,49,612,0,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Waitara Water Supply Zone
1703874.078,5682651.867,36,40110950,RU-BROWN0146WM,Unknown,104811,,In Service,Unknown,Water Supply,,DIGITISE,REG,Farm Land,50,32011,0,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Waitara Water Supply Zone
1701002.4148,5677904.555,37,40110953,BB-CORBE0149WM,Unknown,02W008241,,In Service,Unknown,Water Supply,,DIGITISE,REG,Commercial/Industrial,34,32969,0,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Bell Block Water Supply Zone
1701094.314,5678349.0399,38,40110954,BB-CORBE0149WM/2,Unknown,20MMBYPASS,,In Service,Unknown,Water Supply,,DIGITISE,REG,INDUSTRIAL,74,1325,0,2024/03/22 22:03:57+00,1995/02/27 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Bell Block Water Supply Zone
1705515.112,5681100.434,39,40110958,WA-RALEI0149WM,Unknown,NM448,,In Service,Unknown,Water Supply,,DIGITISE,REG,Residential,50,703,0,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Waitara Water Supply Zone
1701133.69,5678368.018,40,40110959,BB-DE HA0150WM,Unknown,MN881,,In Service,Unknown,Water Supply,,DIGITISE,REG,INDUSTRIAL,34,30607,0,2024/03/22 22:03:57+00,1999/08/31 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Bell Block Water Supply Zone
1721581.709,5683232.9136,41,40110962,UR-MOKAU0150WM,Unknown,NM437,,In Service,Unknown,Water Supply,,DIGITISE,REG,Residential,72,30635,0,2024/03/22 22:03:57+00,2001/10/01 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Tikorangi/Urenui Water Supply Zone
1693522.998,5676382.514,42,40168053,NP-COURT0151WM/1,Manifold Meter,N/M242,,In Service,Water,Water Supply,,DIGITISE,REG,Commercial/Industrial,25,343,0,2024/03/22 22:03:57+00,2007/05/07 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\CBD Water Supply Zone
1705500.7894,5681075.6011,43,40110966,WA-RALEI0151WM,Unknown,104793,,In Service,Unknown,Water Supply,,DIGITISE,REG,Residential,50,702,0,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Waitara Water Supply Zone
1705502.28,5681068.622,44,40110970,WA-RALEI0153WM,Unknown,NO435,,In Service,Unknown,Water Supply,,DIGITISE,REG,Residential,50,701,0,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Waitara Water Supply Zone
1701809.488,5680832.934,45,40110972,BB-AIRPO0154WM,Unknown,KENT6085,,In Service,Unknown,Water Supply,,DIGITISE,REG,FARM,38,477,0,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Bell Block Water Supply Zone
1703498.654,5663157.782,46,40110973,IN-DUDLE0154WM,Unknown,KENT3637A,,In Service,Unknown,Water Supply,,DIGITISE,REG,Farm Land,86,905,0,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\Inglewood System\Inglewood Reticulation\Inglewood Upper Supply Zone
1676835.914,5660310.118,47,40194462,OK-OXFOR0155WM/1,Restricted Flow Meter,,,In Service,Water,Water Supply,ECM#6223388,LOCATED,REG,,30,,1,2024/03/22 22:03:57+00,2015/01/14 00:00:00+00,Water\Okato System\Okato Reticulation\Okato Water Supply Zone
1720475.726,5681584.94,48,40110976,UR-KAIPI0155WM,Unknown,22422,,In Service,Unknown,Water Supply,,DIGITISE,REG,Farm Land,73,32891,0,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Tikorangi/Urenui Water Supply Zone
1705490.66,5681039.594,49,40110977,WA-RALEI0155WM,Unknown,162803,,In Service,Unknown,Water Supply,,DIGITISE,REG,FARM,50,700,0,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Waitara Water Supply Zone
1705453.832,5681040.74,50,40110978,WA-RALEI0156WM,Unknown,104891,,In Service,Unknown,Water Supply,,DIGITISE,REG,Residential,50,698,0,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Waitara Water Supply Zone
1720687.484,5681538.692,51,40110980,UR-KAIPI0157WM,Unknown,NM450,,In Service,Unknown,Water Supply,,DIGITISE,REG,FARM,73,826,0,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Tikorangi/Urenui Water Supply Zone
1705478.81,5681010.45,52,40110981,WA-RALEI0157WM,Unknown,N/M431,,In Service,Unknown,Water Supply,,DIGITISE,REG,Residential,50,699,0,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Waitara Water Supply Zone
1692524.994,5676117.55,53,40110982,NP-DEVON0158WM,Unknown,95M003573,,In Service,Unknown,Water Supply,,DIGITISE,REG,COMMERCIAL,22,1363,0,2024/03/22 22:03:57+00,1996/05/11 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\CBD Water Supply Zone
1706139.356,5665183.998,54,40110984,IN-TARAT0159WM,Unknown,MN636,,In Service,Unknown,Water Supply,,DIGITISE,REG,Farm Land,89,32894,0,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\Inglewood System\Inglewood Reticulation\Inglewood East Water Supply Zone
1697749.264,5676320.286,55,40110987,NP-EGMON0160WM,Restricted Flow Meter,R/FGORDON,,In Service,Water,Water Supply,,DIGITISE,REG,FARMLET,30,1217,1,2024/03/22 22:03:57+00,1994/03/21 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Fitzroy Industrial Water Supply Zone
1705447.914,5681026.026,56,40110989,WA-RALEI0160WM,Unknown,104800,,In Service,Unknown,Water Supply,,DIGITISE,REG,Residential,50,705,0,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Waitara Water Supply Zone
1693375.638,5676402.632,57,40110995,NP-DEVON0162WM,Unknown,NM337,,In Service,Unknown,Water Supply,,DIGITISE,REG,Commercial/Industrial,25,392,0,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\CBD Water Supply Zone
1706319.6827,5679372.9489,58,40110996,WA-WAITA0162WM,Unknown,104877,,In Service,Unknown,Water Supply,,DIGITISE,REG,Small Holdings,44,548,0,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Waitara Water Supply Zone
1693608.012,5676415.57,59,40110998,NP-COURT0163WM,Unknown,NM293A,,In Service,Unknown,Water Supply,,DIGITISE,REG,Commercial/Industrial,25,348,0,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\CBD Water Supply Zone
1693848.1502,5676723.6931,60,40111003,NP-GILL0165WM,Unknown,NM499,,In Service,Unknown,Water Supply,,DIGITISE,REG,COMMERCIAL,25,1679,0,2024/03/22 22:03:57+00,2001/05/08 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\CBD Water Supply Zone
1721692.476,5683357.634,61,40111005,UR-MOKAU0166WM,Unknown,MN091,,In Service,Unknown,Water Supply,,DIGITISE,REG,Farm Land,72,32890,0,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Tikorangi/Urenui Water Supply Zone
1677204.22,5659866.37,62,40111008,OK-OXFOR0168WM,Unknown,MN272,,In Service,Unknown,Water Supply,,DIGITISE,REG,FARM,2,10,0,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\Okato System\Okato Reticulation\Okato Water Supply Zone
1703403.314,5663022.868,63,40194470,IN-DUDLE0171WM/1,Manifold Meter,NM0240,,In Service,Water,Water Supply,,DIGITISE,REG,Residential,86,910,0,2024/03/22 22:03:57+00,2006/10/13 00:00:00+00,Water\Inglewood System\Inglewood Reticulation\Inglewood Upper Supply Zone
1703391.192,5663006.018,64,40111020,IN-DUDLE0175WM,Unknown,104774,,In Service,Unknown,Water Supply,,DIGITISE,REG,Residential,86,912,0,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\Inglewood System\Inglewood Reticulation\Inglewood Upper Supply Zone
